origin,destination,weight,PROVINCIA ORIGEN,PROVINCIA DESTINO
15,36,0.4302083400088437,A Coruña,Pontevedra
15,08,0.00528059573322738,A Coruña,Barcelona
15,32,0.022987253513454625,A Coruña,Ourense
15,35,0.0016469819216498017,A Coruña,Las Palmas
15,22,0.0003909178880180463,A Coruña,Huesca
15,19,0.0006152150368808598,A Coruña,Guadalajara
15,07,0.0011214857443140674,A Coruña,Balears
15,50,0.001191979133956666,A Coruña,Zaragoza
15,49,0.0020443082996353568,A Coruña,Zamora
15,40,0.0004550027876931359,A Coruña,Segovia
15,43,0.0008202867158411464,A Coruña,Tarragona
15,02,0.00035246694821299256,A Coruña,Albacete
15,05,0.00038450939805053736,A Coruña,Ávila
15,31,0.0008202867158411464,A Coruña,Navarra
15,16,0.00028838204853790303,A Coruña,Cuenca
15,21,0.00021148016892779555,A Coruña,Huelva
15,17,0.0001025358394801433,A Coruña,Girona
15,33,0.013195080843100941,A Coruña,Asturias
15,27,0.11549380619444641,A Coruña,Lugo
15,34,0.00025633959870035824,A Coruña,Palencia
15,24,0.008664278436072108,A Coruña,León
15,03,0.0010830348045090137,A Coruña,Alicante/Alacant
15,38,0.0017302922912274183,A Coruña,Santa Cruz de Tenerife
15,48,0.001922546990252687,A Coruña,Bizkaia
15,13,5.76764097075806e-05,A Coruña,Ciudad Real
15,26,0.0007241593663285121,A Coruña,La Rioja
15,11,0.0006023980569458419,A Coruña,Cádiz
15,01,0.0005319046673032434,A Coruña,Araba/Álava
15,23,0.00012816979935017912,A Coruña,Jaén
15,46,0.001332965913241863,A Coruña,Valencia/València
15,12,0.0005511301372057702,A Coruña,Castellón/Castelló
15,18,0.000435777317790609,A Coruña,Granada
15,39,0.0022365629986606256,A Coruña,Cantabria
15,45,0.0005447216472382613,A Coruña,Toledo
15,28,0.022070839448100843,A Coruña,Madrid
15,20,0.0014803611824945689,A Coruña,Gipuzkoa
15,09,0.0015828970219747122,A Coruña,Burgos
15,29,0.0009356395352563076,A Coruña,Málaga
15,47,0.0023775497779458224,A Coruña,Valladolid
15,44,7.049338964259852e-05,A Coruña,Teruel
15,25,0.000294790538505412,A Coruña,Lleida
15,30,0.0005190876873682255,A Coruña,Murcia
15,37,0.0008779631255487271,A Coruña,Salamanca
15,41,0.0009676819850938524,A Coruña,Sevilla
15,42,7.049338964259852e-05,A Coruña,Soria
15,14,7.690187961010748e-05,A Coruña,Córdoba
15,10,0.00042936882782310007,A Coruña,Cáceres
15,06,0.0005254961773357345,A Coruña,Badajoz
15,04,0.0002050716789602866,A Coruña,Almería
02,16,0.06694949469056606,Albacete,Cuenca
02,11,0.0005447216472382613,Albacete,Cádiz
02,28,0.028133270957364315,Albacete,Madrid
02,35,0.00017943771909025076,Albacete,Las Palmas
02,41,0.0017174753112924003,Albacete,Sevilla
02,43,0.0011022602744115405,Albacete,Tarragona
02,18,0.0013650083630794077,Albacete,Granada
02,40,0.0003652839281480105,Albacete,Segovia
02,06,0.00022429714886281347,Albacete,Badajoz
02,39,0.0002050716789602866,Albacete,Cantabria
02,22,0.0004101433579205732,Albacete,Huesca
02,31,0.0004101433579205732,Albacete,Navarra
02,14,0.0009612734951263435,Albacete,Córdoba
02,25,0.00033964996827797465,Albacete,Lleida
02,50,0.0010445838647039599,Albacete,Zaragoza
02,09,0.000442185807758118,Albacete,Burgos
02,36,0.00019866318899277764,Albacete,Pontevedra
02,07,0.00044859429772562694,Albacete,Balears
02,27,3.204244983754478e-05,Albacete,Lugo
02,03,0.07840787475247207,Albacete,Alicante/Alacant
02,45,0.004665380696346521,Albacete,Toledo
02,46,0.07317854693898476,Albacete,Valencia/València
02,38,0.00019225469902526868,Albacete,Santa Cruz de Tenerife
02,23,0.008606602026364528,Albacete,Jaén
02,47,0.000589581077010824,Albacete,Valladolid
02,24,0.000294790538505412,Albacete,León
02,12,0.006126516408938562,Albacete,Castellón/Castelló
02,44,0.0008651461456137091,Albacete,Teruel
02,15,0.00012816979935017912,Albacete,A Coruña
02,33,0.0003460584582454836,Albacete,Asturias
02,26,0.00015380375922021495,Albacete,La Rioja
02,49,0.0001025358394801433,Albacete,Zamora
02,34,0.0001025358394801433,Albacete,Palencia
02,37,0.0001153528194151612,Albacete,Salamanca
02,01,5.76764097075806e-05,Albacete,Araba/Álava
02,30,0.06523201937927366,Albacete,Murcia
02,17,0.00038450939805053736,Albacete,Girona
02,32,8.971885954512538e-05,Albacete,Ourense
02,13,0.03227956396634261,Albacete,Ciudad Real
02,29,0.0006600744666534226,Albacete,Málaga
02,04,0.0016982498413898733,Albacete,Almería
02,19,0.0018392366206750705,Albacete,Guadalajara
02,10,0.00024352261876534032,Albacete,Cáceres
02,08,0.0038066430407003196,Albacete,Barcelona
02,21,0.00025633959870035824,Albacete,Huelva
02,48,0.00019225469902526868,Albacete,Bizkaia
02,05,0.0003268329883429568,Albacete,Ávila
03,02,0.0528123658222413,Alicante/Alacant,Albacete
03,16,0.005210102343584782,Alicante/Alacant,Cuenca
03,18,0.012060778118851855,Alicante/Alacant,Granada
03,28,0.07535743352793782,Alicante/Alacant,Madrid
03,13,0.0045948873067039216,Alicante/Alacant,Ciudad Real
03,19,0.0021212101792454645,Alicante/Alacant,Guadalajara
03,40,0.0010061329248989062,Alicante/Alacant,Segovia
03,14,0.0013778253430144255,Alicante/Alacant,Córdoba
03,20,0.002294239408368206,Alicante/Alacant,Gipuzkoa
03,35,0.0006536659766859136,Alicante/Alacant,Las Palmas
03,05,0.0004229603378555911,Alicante/Alacant,Ávila
03,39,0.0005703556071082972,Alicante/Alacant,Cantabria
03,10,0.0004934537274981897,Alicante/Alacant,Cáceres
03,42,5.76764097075806e-05,Alicante/Alacant,Soria
03,30,0.45843773831572066,Alicante/Alacant,Murcia
03,46,0.3959229186826708,Alicante/Alacant,Valencia/València
03,43,0.005395948552642541,Alicante/Alacant,Tarragona
03,48,0.002005857359830303,Alicante/Alacant,Bizkaia
03,31,0.002794101625833905,Alicante/Alacant,Navarra
03,33,0.0016726158815198375,Alicante/Alacant,Asturias
03,41,0.0027876931358663958,Alicante/Alacant,Sevilla
03,45,0.004844818415436771,Alicante/Alacant,Toledo
03,07,0.010465064116942126,Alicante/Alacant,Balears
03,29,0.0034669930724223453,Alicante/Alacant,Málaga
03,37,0.0006792999365559494,Alicante/Alacant,Salamanca
03,47,0.0027107912562562885,Alicante/Alacant,Valladolid
03,06,0.0008395121857436733,Alicante/Alacant,Badajoz
03,38,0.0007690187961010748,Alicante/Alacant,Santa Cruz de Tenerife
03,32,0.00031401600840793887,Alicante/Alacant,Ourense
03,27,0.00017943771909025076,Alicante/Alacant,Lugo
03,51,2.5633959870035824e-05,Alicante/Alacant,Ceuta
03,44,0.00362079683164256,Alicante/Alacant,Teruel
03,12,0.013803887390014292,Alicante/Alacant,Castellón/Castelló
03,08,0.016847920124581046,Alicante/Alacant,Barcelona
03,50,0.004857635395371789,Alicante/Alacant,Zaragoza
03,04,0.007626103061335658,Alicante/Alacant,Almería
03,24,0.0007818357760360927,Alicante/Alacant,León
03,25,0.001973814909992758,Alicante/Alacant,Lleida
03,34,0.00012816979935017912,Alicante/Alacant,Palencia
03,17,0.0022173375287580987,Alicante/Alacant,Girona
03,22,0.001159936684119121,Alicante/Alacant,Huesca
03,09,0.0007754272860685837,Alicante/Alacant,Burgos
03,11,0.0010766263145415046,Alicante/Alacant,Cádiz
03,23,0.0017367007811949272,Alicante/Alacant,Jaén
03,15,0.0003588754381805015,Alicante/Alacant,A Coruña
03,01,0.00147395269252706,Alicante/Alacant,Araba/Álava
03,49,0.0003268329883429568,Alicante/Alacant,Zamora
03,26,0.0006536659766859136,Alicante/Alacant,La Rioja
03,36,0.0003268329883429568,Alicante/Alacant,Pontevedra
03,21,0.00010894432944765226,Alicante/Alacant,Huelva
04,18,0.11682036361772076,Almería,Granada
04,17,0.0012112046038591927,Almería,Girona
04,02,0.0014098677928519705,Almería,Albacete
04,06,0.0006408489967508956,Almería,Badajoz
04,50,0.0006152150368808598,Almería,Zaragoza
04,52,0.0003973263779855553,Almería,Melilla
04,22,0.00016662073915523284,Almería,Huesca
04,48,0.00019866318899277764,Almería,Bizkaia
04,38,1.922546990252687e-05,Almería,Santa Cruz de Tenerife
04,28,0.0193920906416821,Almería,Madrid
04,11,0.0023839582679133315,Almería,Cádiz
04,23,0.00742743987234288,Almería,Jaén
04,29,0.022935985593714552,Almería,Málaga
04,12,0.0017046583313573825,Almería,Castellón/Castelló
04,08,0.006703280506014368,Almería,Barcelona
04,26,0.00023711412879783136,Almería,La Rioja
04,14,0.002275013938465679,Almería,Córdoba
04,41,0.0036848817313176498,Almería,Sevilla
04,20,8.331036957761642e-05,Almería,Gipuzkoa
04,07,0.000435777317790609,Almería,Balears
04,21,0.0007177508763610032,Almería,Huelva
04,36,0.00012816979935017912,Almería,Pontevedra
04,31,0.0006536659766859136,Almería,Navarra
04,05,0.0001025358394801433,Almería,Ávila
04,47,0.0003076075184404299,Almería,Valladolid
04,51,3.204244983754478e-05,Almería,Ceuta
04,33,0.0003076075184404299,Almería,Asturias
04,19,0.00014098677928519704,Almería,Guadalajara
04,25,0.00022429714886281347,Almería,Lleida
04,39,0.00018584620905775972,Almería,Cantabria
04,16,0.000147395269252706,Almería,Cuenca
04,01,0.0001153528194151612,Almería,Araba/Álava
