Fecha,cod_ine,provincia,Casos,Fallecidos,Hospitalizados,UCI,z_newCases
2020-01-01,0,No consta,0,0,0,0,-0.8097270588538245
2020-01-01,1,Araba/Álava,0,0,0,0,-0.47758428789815627
2020-01-01,2,Albacete,0,0,0,0,-0.4907817235529659
2020-01-01,3,Alicante/Alacant,0,0,0,0,-0.4364479302008497
2020-01-01,4,Almería,0,0,0,0,-0.5854672114218318
2020-01-01,5,Ávila,0,0,0,0,-0.4747117648468166
2020-01-01,6,Badajoz,0,0,0,0,-0.485479840923716
2020-01-01,7,Balears,0,0,0,0,-0.4781054432524065
2020-01-01,8,Barcelona,0,0,0,0,-0.4724140723184589
2020-01-01,9,Burgos,0,0,0,0,-0.4782773777202678
2020-01-01,10,Cáceres,0,0,0,0,-0.48029733446727124
2020-01-01,11,Cádiz,0,0,0,0,-0.64140720586041
2020-01-01,12,Castellón/Castelló,0,0,1,0,-0.40632412033783705
2020-01-01,13,Ciudad Real,0,0,0,0,-0.5242505989103848
2020-01-01,14,Córdoba,0,0,1,0,-0.5921858367970532
2020-01-01,15,A Coruña,0,0,0,0,-0.4710295505086715
2020-01-01,16,Cuenca,0,0,0,0,-0.5083626674700301
2020-01-01,17,Girona,0,0,1,0,-0.4830317770676592
2020-01-01,18,Granada,0,0,0,0,-0.6533202987661008
2020-01-01,19,Guadalajara,0,0,0,0,-0.5014128185720831
2020-01-01,20,Gipuzkoa,0,0,0,0,-0.48327945062166994
2020-01-01,21,Huelva,0,0,0,0,-0.6376445233238497
2020-01-01,22,Huesca,0,0,0,0,-0.4781929209851609
2020-01-01,23,Jaén,0,0,1,0,-0.649122746465575
2020-01-01,24,León,0,0,0,0,-0.5115389695777174
2020-01-01,25,Lleida,0,0,0,0,-0.5284686433283448
2020-01-01,26,La Rioja,0,0,0,0,-0.5023430983540103
2020-01-01,27,Lugo,0,0,1,0,-0.4688783896317607
2020-01-01,28,Madrid,0,0,1,0,-0.5986696527132771
2020-01-01,29,Málaga,0,0,0,0,-0.6746879623280699
2020-01-01,30,Murcia,0,0,0,0,-0.433962325320597
2020-01-01,31,Navarra,0,0,0,0,-0.4593089329218986
2020-01-01,32,Ourense,0,0,0,0,-0.4880010783294394
2020-01-01,33,Asturias,0,0,0,0,-0.4657776748612251
2020-01-01,34,Palencia,0,0,0,0,-0.526508138148326
2020-01-01,35,Las Palmas,0,0,0,0,-0.4291974353306752
2020-01-01,36,Pontevedra,0,0,0,0,-0.46522159165899274
2020-01-01,37,Salamanca,0,0,0,0,-0.499076025524569
2020-01-01,38,Santa Cruz de Tenerife,0,0,0,0,-0.4015760831802385
2020-01-01,39,Cantabria,0,0,0,0,-0.45105711090912665
2020-01-01,40,Segovia,0,0,0,0,-0.5000871381210027
2020-01-01,41,Sevilla,0,0,1,0,-0.6994710297128124
2020-01-01,42,Soria,0,0,0,0,-0.5030079956576154
2020-01-01,43,Tarragona,0,0,0,0,-0.4501441775984303
2020-01-01,44,Teruel,0,0,0,0,-0.4862539498228136
2020-01-01,45,Toledo,0,0,0,0,-0.5861753816983405
2020-01-01,46,Valencia/València,0,0,1,0,-0.4408818414473822
2020-01-01,47,Valladolid,0,0,0,0,-0.5073444420776384
2020-01-01,48,Bizkaia,0,0,0,0,-0.4689272630520343
2020-01-01,49,Zamora,0,0,0,0,-0.4967166189020813
2020-01-01,50,Zaragoza,0,0,0,0,-0.4582600046329267
2020-01-01,51,Ceuta,0,0,0,0,-0.40761170095182025
2020-01-02,0,No consta,0,0,0,0,-0.8097270588538245
2020-01-02,1,Araba/Álava,0,0,0,0,-0.47758428789815627
2020-01-02,2,Albacete,0,0,0,0,-0.4907817235529659
2020-01-02,3,Alicante/Alacant,0,0,0,0,-0.4364479302008497
2020-01-02,4,Almería,0,0,1,0,-0.5854672114218318
2020-01-02,5,Ávila,0,0,0,0,-0.4747117648468166
2020-01-02,6,Badajoz,0,0,0,0,-0.485479840923716
2020-01-02,7,Balears,0,0,0,0,-0.4781054432524065
2020-01-02,8,Barcelona,0,0,2,0,-0.4724140723184589
2020-01-02,9,Burgos,0,0,0,0,-0.4782773777202678
2020-01-02,10,Cáceres,0,0,0,0,-0.48029733446727124
2020-01-02,11,Cádiz,0,0,0,0,-0.64140720586041
2020-01-02,12,Castellón/Castelló,0,0,1,0,-0.40632412033783705
2020-01-02,13,Ciudad Real,0,0,0,0,-0.5242505989103848
2020-01-02,14,Córdoba,0,0,0,0,-0.5921858367970532
2020-01-02,15,A Coruña,0,0,0,0,-0.4710295505086715
2020-01-02,16,Cuenca,0,0,0,0,-0.5083626674700301
2020-01-02,17,Girona,0,0,0,0,-0.4830317770676592
2020-01-02,18,Granada,0,0,0,0,-0.6533202987661008
2020-01-02,19,Guadalajara,0,0,0,0,-0.5014128185720831
2020-01-02,20,Gipuzkoa,0,0,3,0,-0.48327945062166994
